sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number
SR23-01719591,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mobile Device,2023-10-05T15:44:46.000,2023-10-06T14:30:02.000,2023-10-06T14:30:02.000,815 S DAMEN AVE,,,,815,S,DAMEN,AVE,False,False,28,27,3,12,1231,10,15,5,10,1163397.69563234,1896074.600117633,41.870475001,-87.675588,"{'latitude': '41.870475000940424', 'longitude': '-87.67558800000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L024,
SR23-01918697,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-04T19:58:14.000,2023-11-04T20:35:05.000,2023-11-04T19:58:14.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,19,7,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01697214,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Completed,Mobile Device,2023-10-02T17:01:15.000,2023-11-09T08:00:02.000,2023-11-09T08:00:02.000,5155 N LA CROSSE AVE,,,,5155,N,LA CROSSE,AVE,False,False,12,39,2,16,1621,41,17,2,10,1143148.710630307,1934081.662020434,41.975172001,-87.7489785,"{'latitude': '41.97517200094079', 'longitude': '-87.74897850000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,D010,
SR23-01934190,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-11-07T12:26:26.000,2023-11-07T12:26:35.000,2023-11-07T12:26:35.000,5710 S TROY ST,Chicago,Illinois,60629,5710,S,TROY,ST,False,False,63,14,2,08,0824,5,12,3,11,1156281.266306816,1866523.209390402,41.789529001,-87.7025115,"{'latitude': '41.78952900094015', 'longitude': '-87.70251150000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,I035,
SR23-01717720,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-05T12:44:20.000,2023-10-05T12:44:27.000,2023-10-05T12:44:27.000,3626 N TRIPP AVE,Chicago,Illinois,60641,3626,N,TRIPP,AVE,False,False,16,30,3,17,1731,6,12,5,10,1147267.884541422,1923903.413779148,41.947164001,-87.7340925,"{'latitude': '41.947164000940695', 'longitude': '-87.7340925000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,F013,
SR23-01778732,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-15T13:01:57.000,2023-10-15T13:31:21.000,2023-10-15T13:01:57.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01871961,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-27T23:11:50.000,2023-10-27T23:31:51.000,2023-10-27T23:11:51.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,23,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01898389,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-11-01T14:31:33.000,2023-11-01T14:31:39.000,2023-11-01T14:31:39.000,11237 S FORRESTVILLE AVE,Chicago,Illinois,60628,11237,S,FORRESTVILLE,AVE,False,False,50,9,3,05,0531,37,14,4,11,1182004.05430269,1830442.209149702,41.689962001,-87.6093075,"{'latitude': '41.68996200093976', 'longitude': '-87.60930750000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,R049,
SR23-01945027,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-08T17:24:06.000,2023-11-08T17:31:52.000,2023-11-08T17:24:06.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,17,4,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01881393,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-30T09:09:10.000,2023-10-30T09:32:32.000,2023-10-30T09:09:11.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01744704,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mass Entry,2023-10-10T10:00:39.000,2023-10-10T10:00:48.000,2023-10-10T10:00:48.000,357 W ERIE ST,Chicago,Illinois,60654,357,W,ERIE,ST,False,False,8,42,3,18,1831,38,10,3,10,1173613.394745067,1904630.134878955,41.893731001,-87.6378285,"{'latitude': '41.89373100094049', 'longitude': '-87.6378285000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,P021,
SR23-01943690,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-08T14:33:13.000,2023-11-08T15:31:19.000,2023-11-08T14:33:13.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,14,4,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01928947,Yard Waste Pick-Up Request,SCQ,Streets and Sanitation,Completed,Mobile Device,2023-11-06T15:26:01.000,2023-11-07T07:43:40.000,2023-11-07T07:43:40.000,5045 N KILBOURN AVE,,,,5045,N,KILBOURN,AVE,False,False,14,39,1,17,1712,11,15,2,11,1145509.415482664,1933346.811782976,41.973111001,-87.740316,"{'latitude': '41.973111000940754', 'longitude': '-87.74031600000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,E010,
SR23-01873020,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-28T09:09:56.000,2023-10-28T09:30:58.000,2023-10-28T09:09:57.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01877710,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-29T11:15:31.000,2023-10-29T11:31:29.000,2023-10-29T11:15:31.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01791046,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-17T09:02:40.000,2023-10-17T09:32:59.000,2023-10-17T09:02:40.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,9,3,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01875918,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-28T20:59:48.000,2023-10-28T21:31:01.000,2023-10-28T20:59:49.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,20,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01830136,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-22T08:45:37.000,2023-10-22T09:31:23.000,2023-10-22T08:45:37.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,8,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01945616,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-08T19:55:10.000,2023-11-08T20:30:48.000,2023-11-08T19:55:11.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,19,4,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01866333,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-27T09:48:13.000,2023-10-27T10:31:31.000,2023-10-27T09:48:13.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01817650,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-19T20:45:46.000,2023-10-19T21:31:17.000,2023-10-19T20:45:46.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,20,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01753798,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-11T12:05:39.000,2023-10-11T12:51:56.000,2023-10-11T12:05:40.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01776864,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-15T04:21:51.000,2023-10-15T04:30:43.000,2023-10-15T04:21:51.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,4,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01847303,City Vehicle Sticker Violation,QAC,City Clerk's Office,Completed,Mobile Device,2023-10-24T17:08:49.000,2023-11-06T14:05:16.000,2023-11-06T14:05:16.000,3843 S WINCHESTER AVE,,,,3843,S,WINCHESTER,AVE,False,False,59,12,1,09,0912,4,17,3,10,1164086.309845883,1879034.951989554,41.823702001,-87.6735405,"{'latitude': '41.823702000940244', 'longitude': '-87.67354050000193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L030,
SR23-01920808,Tree Emergency,SEC,Streets and Sanitation,Completed,Phone Call,2023-11-05T11:39:29.000,2023-11-06T13:17:46.000,2023-11-06T13:17:46.000,1834 W ARMITAGE AVE,Chicago,Illinois,60614,1834,W,ARMITAGE,AVE,False,False,22,32,3,14,1432,31,11,1,11,1163654.312849235,1913406.98112381,41.918031001,-87.674157,"{'latitude': '41.91803100094059', 'longitude': '-87.6741570000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,L017,
SR23-01914871,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-03T21:31:09.000,2023-11-03T22:30:38.000,2023-11-03T21:31:09.000,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,21,6,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,
SR23-01874920,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-28T15:25:21.000,2023-10-28T15:31:21.000,2023-10-28T15:25:21.000,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,15,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,
SR23-01823586,Street Light Out Complaint,SFD,CDOT - Department of Transportation,Completed,Phone Call,2023-10-20T15:42:47.000,2023-10-21T12:45:33.000,2023-10-21T12:45:33.000,2208 W 54TH PL,Chicago,Illinois,,2208,W,54TH,PL,False,False,63,16,3,09,0932,7,15,6,10,1162405.610046556,1868486.999603447,41.794792391,-87.680000581,"{'latitude': '41.794792390968034', 'longitude': '-87.68000058064135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K034,
SR23-01937130,Dead Animal Pick-Up Request,SGQ,Streets and Sanitation,Completed,Phone Call,2023-11-07T19:19:12.000,2023-11-08T14:05:01.000,2023-11-08T14:05:01.000,3757 N CUMBERLAND AVE,Chicago,Illinois,,3757,N,CUMBERLAND,AVE,False,False,76,38,3,16,1631,20,19,3,11,1119389.593060384,1924177.876738527,41.948406275,-87.83656196,"{'latitude': '41.94840627525854', 'longitude': '-87.83656195986696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,V113,
SR23-01752781,Stray Animal Complaint,EAE,Animal Care and Control,Completed,Phone Call,2023-10-11T10:27:02.000,2023-11-19T20:04:47.000,2023-11-19T20:04:47.000,7532 S STONY ISLAND AVE,Chicago,Illinois,,7532,S,STONY ISLAND,AVE,False,False,43,8,1,04,0411,2,10,4,10,1188132.403081049,1854907.006422278,41.756952504,-87.586094298,"{'latitude': '41.7569525042467', 'longitude': '-87.58609429778303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,T040,
SR23-01776003,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Alderman's Office,2023-10-14T20:16:14.000,2023-10-16T11:40:29.000,2023-10-16T11:40:29.000,4012 W 63RD ST,Chicago,Illinois,60629,4012,W,63RD,ST,False,False,65,13,1,08,0813,30,20,7,10,1150577.698535502,1862618.572348195,41.778927001,-87.7235265,"{'latitude': '41.778927000940065', 'longitude': '-87.72352650000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,F036,
